AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,AUROC_CI_lower,AUROC_CI_upper,subgroup,n
0.8875,0.7414,0.1061,0.4509,0.9683,0.8102,0.8547,0.5793,0.87,0.9,African_American,2913
0.9039,0.759,0.1006,0.4347,0.9688,0.8047,0.853,0.5644,0.89,0.92,Hispanic_Latino,1746
0.8924,0.7271,0.1022,0.4472,0.9679,0.7964,0.8617,0.5728,0.88,0.9,White,7296
0.8901,0.7298,0.1024,0.4456,0.9686,0.7988,0.8618,0.5721,0.88,0.9,Rural,5292
0.8951,0.7398,0.1029,0.4536,0.9676,0.8039,0.8582,0.58,0.89,0.9,Urban,7149
0.8503,0.7984,0.1552,0.5699,0.9052,0.8041,0.7551,0.667,0.83,0.87,High_ADI_Q5,2539
