N,Events,AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,AUROC_95CI,Model,Cohort
47832,10603,0.9889,0.9689,0.0405,0.7026,0.9973,0.9869,0.9217,0.8208,0.99 (0.99-0.99),SDOH-CKDPred,Training (OOF)
12441,2776,0.8931,0.7356,0.1027,0.4503,0.968,0.8018,0.8598,0.5767,0.89 (0.89-0.90),SDOH-CKDPred,External Validation
47832,10603,0.8192,0.5695,0.1754,0.5736,0.8581,0.5352,0.876,0.5537,0.82 (0.81-0.82),Clinical-Only (LR),Training (OOF)
12441,2776,0.8149,0.5736,0.1759,0.572,0.8635,0.5463,0.8754,0.5589,0.81 (0.81-0.82),Clinical-Only (LR),External Validation
