N,Events,AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,Subgroup,AUROC_95CI
2913,672,0.8875,0.7414,0.1061,0.4509,0.9683,0.8102,0.8547,0.5793,African American,0.89 (0.87-0.90)
1746,398,0.9039,0.759,0.1006,0.4347,0.9688,0.8047,0.853,0.5644,Hispanic/Latino,0.90 (0.89-0.92)
7296,1601,0.8924,0.7271,0.1022,0.4472,0.9679,0.7964,0.8617,0.5728,White,0.89 (0.88-0.90)
5292,1158,0.8901,0.7298,0.1024,0.4456,0.9686,0.7988,0.8618,0.5721,Rural,0.89 (0.88-0.90)
7149,1618,0.8951,0.7398,0.1029,0.4536,0.9676,0.8039,0.8582,0.58,Urban,0.90 (0.89-0.90)
2539,1030,0.8503,0.7984,0.1552,0.5699,0.9052,0.8041,0.7551,0.667,High ADI (Q5),0.85 (0.83-0.86)
